Time (s),Thrust (N)
1.344505,1454.703063
1.347279,1425.399467
1.349987,1401.962449
1.351934,1361.666268
1.354526,1331.120548
1.356978,1279.865177
1.360158,1242.337515
1.36264,1182.235909
1.364624,1139.693549
1.366969,1072.8312
1.36952,1027.13148
1.372583,958.197176
1.375142,912.9136356
1.376967,846.3087454
1.379449,803.7145167
1.381995,742.2867196
1.384902,703.2075956
1.387195,647.169901
1.389277,611.5461662
